Tahun,PROVINSI,KOTA/KABUPATEN,PERSENTASE BALITA GIZI KURANG (BB/TB: < -2 S.D. -3 SD),PERSENTASE BALITA PENDEK (TB/U) ATAU STUNTING,PERSENTASE BALITA DITIMBANG (D/S) (L+P),PERSENTASE KUNJUNGAN NEONATAL ,PERSENTASE - BAYI DIIMUNISASI LENGKAP (P),PERSENTASE PESERTA KB KONDOM,"PERSENTASE 
IBU 
HAMIL 
K4 - K1",PERSENTASE BUMIL DENGAN KOMPLIKASI KEBIDANAN DITANGANI ,PERSENTASE PESERTA KB SUNTIK,PERSENTASE PERSALINAN DITOLONG NAKES,PERSENTASE - POSYANDU AKTIF,PERSENTASE PELAYANAN KESEHATAN BAYI (L+P),PERSENTASE - SISWA KELAS 1 SD/MI MENDAPAT PELAYANAN KESEHATAN,PERSENTASE PERSALINAN DI FASYANKES,PERSENTASE - BAYI DIIMUNISASI BCG (L + P),PERSENTASE DESA/KELURAHAN KELURAHAN UNIVERSAL CHILD IMMUNIZATION (UCI),PERSENTASE  BAYI (6-11 BULAN)  MENDAPAT VIT A,PERSENTASE IBU NIFAS MENDAPAT VIT A,PERSENTASE - PUSKESMAS MEMILIKI 80% OBAT DAN VAKSIN ESENSIAL,PERSENTASE TFU YANG DILAKUKAN PENGAWASAN SESUAI STANDAR (IKL) (PUSKESMAS),PERSENTASE PENDERITA HIPERTENSI MENDAPAT PELAYANAN KESEHATAN (L+P),PERSENTASE PENDERITA DM YANG MENDAPATKAN PELAYANAN KESEHATAN SESUAI STANDAR,PERSENTASE PEMERIKSAAN IVA,PERSENTASE TUMOR/ BENJOLAN,PERSENTASE CURIGA KANKER LEHER RAHIM,PERSENTASE  ODGJ BERAT MENDAPAT PELAYANAN KESEHATAN,Prevalensi Tubercolosis,PERSENTASE SEMUA KASUS TBC (L),PERSENTASE SEMUA KASUS TBC (P),PERSENTASE ANGKA KESEMBUHAN (CURE RATE) TBC PARU TERKONFIRMASI BAKTERIOLOGIS (L),PERSENTASE  KEMATIAN SELAMA PENGOBATAN TUBERKULOSIS,PERSENTASE TOTAL PENEMUAN PNEUMONIA (L+P),KASUS BARU PAUSI BASILER (PB)/ KUSTA KERING (L+P),PERSENTASE JUMLAH PENDERITA KUSTA ANAK < 15 TAHUN,"PERSENTASE JUMLAH SARANA AIR MINUM MEMENUHI
SYARAT",PERSENTASE DESA/KELURAHAN STBM,PERSENTASE  TPM MEMENUHI SYARAT KESEHATAN,PERSENTASE DESA/KELURAHAN STOP BABS (SBS)
2018-01-01,BALI,BADUNG,7.7,14.8,88,100,100,3.1,100,97.3,48.4,96.2,97.5,100,100,96.2,100,100,100,96.2,100,100,76.7,77.6,10.3,27.2,6,100,75.2,63,37,90.3,5.2,29.5,0,0,95.1,100,93.9,51.6
2019-01-01,BALI,BADUNG,1.4,8.1,88,100,100,2.3,100,71.65,46,96.6,92.7,100,3.3,96.6,100,100,100,96.6,100,96,96.4,94.6,11.6,0.2,0,40.7,9.64,55.1,44.9,93,6.3,27,0,0,99.3,100,95.5,100
2020-01-01,BALI,BADUNG,2.3,6.1,51.6,100,97.8,3.1,99.75,70,46.2,88.26,98.6,100,99.9,94.7,98.6,96.8,100,94.7,100,100,81.5,90.4,6.1,0.7,0,100,5.85,59,41,91.3,3.7,30.9,1,0,94.6,100,100,100
2021-01-01,BALI,BADUNG,0.8,1.6,100,84.8,100,3.4,93.05,100,50.4,80.6,99.8,94.1,99.9,80.6,95.7,100,97.9,80.2,100,100,96.3,96.9,6.4,0.5,0,100,72.27,62.2,37.8,74.7,6.4,2.9,0,0,65.4,100,14.3,100
2022-01-01,BALI,BADUNG,0.7,1.5,0,100,95.4,4.9,97.7,71.5,37.8,88.26,97.5,89.6,98.9,69.8,100,100,99.6,69.6,100,100,99.9,99.7,9,1.3,0,100,100,59,41,71.6,5.6,100,0,0,70.9,100,84.5,100
2018-01-01,BALI,BANGLI,4.3,28.4,80.5,99.9,99,1.2,99.45,51.1,43,91.5,73.2,100,98.4,91.5,99.5,100,99.8,88.8,100,100,23.5,34.6,3.9,1.1,0.4,91.6,27.85,65.1,34.9,58.1,3,17.9,0,0,43.5,100,5.4,11.1
2019-01-01,BALI,BANGLI,3,19.8,80.9,100,96.8,1.2,98.4,71.65,39.6,92.6,77.8,100,4.9,92.6,100,100,99.6,91.8,100,100,31.9,83.4,5.1,0.5,0.1,62.5,3.87,69.3,30.7,43.3,0,22.4,0,0,70.3,100,7.3,16.7
2020-01-01,BALI,BANGLI,1.4,6.3,60.7,100,98.2,1.6,100,58.6,42.4,88.26,86,98.6,76.2,97.9,100,100,99.4,97.3,100,100,7.8,35.9,1.5,0.2,0,74.6,1.44,66.7,33.3,39.5,8.1,12.5,0,0,98,100,73,20.8
2021-01-01,BALI,BANGLI,1.2,4.6,100,100,100,1.3,100,100,36.5,97.3,77.8,100,97.8,97.5,100,100,99.9,89.9,100,100,11.3,31.7,2.1,0.1,0.1,67.9,22.86,70,30,0,10.8,2.1,0,0,97.78,100,90.53,20.83
2022-01-01,BALI,BANGLI,1.2,4.5,0,99.9,97.8,1.7,98.85,72.7,42.6,88.26,77.8,100,93.9,89.5,100,100,100,89.5,100,100,17.6,79.7,2.8,0,0,73.7,34.07,72.5,27.5,28,11.5,56.7,0,0,70.9,1.4,16.6,76.4
2018-01-01,BALI,BULELENG,8.9,28.9,76.2,100,100,7.6,100,93.1,41.7,100,69.8,100,100,100,96.6,98.6,98,100,100,100,80.6,100,6.2,0.2,0.2,100,11.46,57.1,42.9,68.2,10.1,54.6,1,0,64.3,65.5,85.6,4.1
2019-01-01,BALI,BULELENG,4.9,20.7,76.8,100,91.9,1.9,95.95,71.65,50.5,99.4,79.3,100,9.5,99.4,100,100,97.7,99.4,100,100,48.7,70.8,8.9,0.1,0.2,32.3,10.64,61,39,65.7,14.7,52,1,0,67.3,84.5,79.6,11.5
2020-01-01,BALI,BULELENG,2.4,7.2,58.4,100,100,6.6,100,100,45.3,88.26,78.5,100,63.4,100,100,99.3,95.3,100,100,100,16.2,73.3,2.9,0.4,0.2,28.6,7.56,61.4,38.6,64.7,10.6,38.2,2,8.3,68.1,100,100,16.9
2021-01-01,BALI,BULELENG,2.2,2.9,100,100,100,6.2,100,100,46.9,100,77.2,100,80.7,100,100,98,93.8,100,100,100,61.7,83.1,2.6,0,0.3,45.2,77.24,63.7,36.3,59.1,10.9,16.2,0,0,70.1,100,65.28,22.3
2022-01-01,BALI,BULELENG,2.2,4.2,0,100,100,4.9,100,100,48.9,88.26,71.9,100,98.4,95.7,100,100,97.3,95.6,100,100,77.7,100,5.2,0.2,0.1,100,100,63.2,36.8,50.2,13.3,100,2,5.3,70.9,0,62.5,40.5
2018-01-01,BALI,GIANYAR,5.5,22.5,90,88.3,90.8,3.1,89.55,98.5,33.8,83.9,83.2,83.8,100,83.9,89.5,95.7,99.8,83.8,100,100,54.4,40,6.2,1.1,0.2,100,49.4,58.2,41.8,75.3,21.4,95.8,1,0,84.5,95.7,28.5,42.9
2019-01-01,BALI,GIANYAR,4.1,9.7,89.6,100,100,2.8,100,71.65,30.2,87.6,97.4,89.9,4.6,87.6,100,100,100,87.5,100,100,43.3,92.9,11.7,0.7,0.4,63.6,6.89,54.7,45.3,98.6,5.2,83.9,1,0,72,51.4,36.8,51.4
2020-01-01,BALI,GIANYAR,2,4.8,83,100,95.8,3.1,97.9,98.5,29,88.26,99.6,86.7,46.7,87,100,100,100,86.9,100,100,21,74.3,3.9,0.3,0.3,79.1,4.3,50.9,49.1,80.6,4.1,26.6,0,0,71.3,100,100,64.3
2021-01-01,BALI,GIANYAR,2,2.8,100,91.6,87.7,3.3,89.65,100,27.7,87.3,99.6,88.3,51.5,87.3,100,100,100,87.2,100,100,35.6,73.5,5.6,0.2,0.1,80.3,41.39,66.5,33.5,51.9,10.2,1.1,1,14.3,95.5,100,66.4,77.14
2022-01-01,BALI,GIANYAR,1.8,3.2,0,100,91.8,4.1,95.9,84,27.5,88.26,100,86.2,100,75.8,100,100,100,75.8,100,100,41.3,100,6.7,0.3,0,100,56.68,59.3,40.7,60.9,7.9,57.2,0,0,70.9,0,67.6,88.6
2018-01-01,BALI,JEMBRANA,12.9,25.1,89.6,99.9,100,3.2,100,81.2,54.5,100,100,100,99.5,100,98.8,100,100,100,100,100,14.9,42.7,9.1,0.3,0.6,100,69.78,59.1,40.9,67.4,5.9,60.8,0,0,63.4,96.1,91.7,7.8
2019-01-01,BALI,JEMBRANA,2.9,10.9,59.7,100,100,3.1,100,71.65,53.9,100,100,100,5.2,100,100,100,100,100,100,100,41.8,93.1,10.4,0,0.1,54.6,6.9,65.6,34.4,71.6,7.3,100,0,0,77.6,100,91.7,17.6
2020-01-01,BALI,JEMBRANA,1,2.3,59.3,100,94,3.1,100,68.4,53.6,88.26,100,84.5,96.5,100,100,100,98,100,100,100,43.3,97.9,5.7,0,0,50.7,4.94,68.1,31.9,79,4.6,52.6,1,0,83.1,100,100,21.6
2021-01-01,BALI,JEMBRANA,0.7,1.6,100,99.9,92.4,3.1,96.15,100,53.2,100,99.7,93.8,90.8,100,100,94.1,95,100,100,100,61.2,100,5.8,0,0.1,55.8,46.29,62.4,37.6,76.1,12.1,81.9,0,0,50.23,100,22.68,23.53
2022-01-01,BALI,JEMBRANA,1.3,3,0,99.8,100,3.1,100,98.4,52.4,88.26,99.7,98.8,100,93.2,100,100,91.4,93.2,100,100,99.7,100,13.3,0.2,0.1,69.9,72.9,63.2,36.8,10.1,12.2,19.9,0,0,70.9,0,91.8,45.1
2018-01-01,KALIMANTAN BARAT,KAB. BENGKAYANG,4.7,16.1,53.93,98.8,80.5,4,40.25,64.3,36.6,82.8,70,88.65,84.47,82.1,76.7,66.1,76.42,84.23,100,100,23.5,73.5,0.46,0.65,0.2,70.2,8.52,63.08,36.92,72.1,6.3,7.8,0,0,70.9,87.1,59.3,4.84
2019-01-01,KALIMANTAN BARAT,KAB. BENGKAYANG,10.8,31.7,68.1,80.35,72.3,1.64,76.33,57.29,32.2,74.97,50.3,92.06,94.15,73.33,77.7,64.52,90.2,76.5,76.47,75.47,14.8,22.6,2.6,0.2,1.1,21.8,11.17,68,32,100,0.6,8.9,0,0,90.5,68.5,52.18,7.3
2020-01-01,KALIMANTAN BARAT,KAB. BENGKAYANG,10.6,30.1,50.4,83.4,75.2,0.7,79.3,73.6,23.2,77.4,94.2,93.6,29,75.7,72.7,5.6,85.4,80.2,88.2,93.2,18.9,75.1,2.5,0.6,1.4,65,17.98,59.8,40.2,100,0.6,11.6,0,0,59.8,75.8,63.1,8.1
2022-01-01,KALIMANTAN BARAT,KAB. BENGKAYANG,9.33,21.57,49.6,80.7,85.8,2.3,83.25,47.3,50.7,88.26,87.91,82.3,100,74.6,84.8,73.4,89.8,77.1,88.24,100,0,16.3,3.8,1.1,0.3,0,19.59,63,37,35.5,79.8,2.6,0,0,70.9,0,59.3,15.3
2018-01-01,KALIMANTAN BARAT,KAB. KAPUAS HULU,4.7,16.1,59.72,98.8,79.9,0.7,39.95,78.5,55.2,72.7,70,83.88,94.47,73.1,77.8,49.7,90.47,77.76,100,100,23.5,73.5,2.69,0.11,0.2,70.2,14.02,60.33,39.67,0,6.3,13,0,0,70.9,32.17,59.3,0.35
2019-01-01,KALIMANTAN BARAT,KAB. KAPUAS HULU,12.2,35.3,72.2,79.01,78.1,0.17,78.56,69.88,42.13,72.43,25.5,75.08,94.7,65.3,78.3,40.21,91.6,75.81,95.65,91.3,34.4,21.8,5.6,0.2,0,70.5,13.64,66,34,54.4,0.4,6.8,0,0,7,70.3,42.53,5.6
2020-01-01,KALIMANTAN BARAT,KAB. KAPUAS HULU,12.5,34.6,45.4,78.7,70.9,0.1,74.8,62.8,43.9,72.4,24.7,75.2,79,65.9,73.9,35.3,85,74.7,87,13,1.9,5.5,0.2,0,0,83.5,17.98,73.5,26.5,56.4,1.3,11.8,1,0,13.7,86.9,47,8.5
2022-01-01,KALIMANTAN BARAT,KAB. KAPUAS HULU,9.58,31.47,65.4,79.9,75.5,1.5,77.7,91.95,66.4,88.26,98.47,85.9,100,70.6,75.8,42.2,84.8,76.6,100,100,65.1,100,0.4,0,5.9,100,19.64,60.8,39.2,8.1,72.5,13.1,1,0,70.9,0,59.3,14.9
2018-01-01,KALIMANTAN BARAT,KAB. KAYONG UTARA,4.7,16.1,62.36,98.8,66.7,1.4,33.35,51.1,69.4,71.4,70,62.11,82.48,64.7,89.2,83.7,94.55,77.2,100,55.6,23.5,73.5,3.69,0.92,0.2,70.2,12.08,55.97,44.03,97.7,6.3,7.7,2,0,70.9,41.86,59.3,6.98
2019-01-01,KALIMANTAN BARAT,KAB. KAYONG UTARA,9.2,24.1,63.7,84.23,80.6,0.15,82.42,40.84,21.79,72.05,26.4,77.61,89.1,41.27,89.1,81.4,86.6,74.84,50,33.33,12.9,48.6,1.7,0.4,0,44.4,11,53,47,69.4,4.5,6.7,0,5.6,0,93,29.51,0
2020-01-01,KALIMANTAN BARAT,KAB. KAYONG UTARA,8.7,26.1,37.3,81.5,53.6,1,67.55,43.7,66.6,79.3,26,17.3,100,54.6,84.6,0,87.1,74.1,77.8,55.6,22.4,95.4,0.6,0,0,51.6,17.98,68,32,87.8,5.2,9.1,0,28.6,66.7,88.4,29.1,0
2022-01-01,KALIMANTAN BARAT,KAB. KAYONG UTARA,11.11,22.99,23.5,80.3,65.6,1,72.95,67.2,75.9,88.26,100,67.6,81.1,57.8,72.5,45.2,81.2,75.8,100,100,15.6,100,1.3,0,0.9,85.7,18.32,66.4,33.6,26.9,86.6,11.8,4,1,70.9,14.3,59.3,2.4
2018-01-01,KALIMANTAN BARAT,KAB. KETAPANG,4.7,16.1,43.21,98.8,81.1,1.2,40.55,61.5,49.7,76.7,70,67.34,32.41,72.2,82.6,75.6,76.06,76.52,100,95.3,23.5,73.5,0.51,1.18,0.2,70.2,11.01,62.34,37.66,61.4,6.3,7.5,1,0,70.9,71.37,59.3,2.29
2019-01-01,KALIMANTAN BARAT,KAB. KETAPANG,9.4,23,53.8,79.62,82.5,0.67,81.06,64.35,37.09,72.52,16.6,80.94,32.4,45.23,84.2,80.15,66,70.33,100,88.06,6.1,50.1,1.3,1.4,0.8,64.5,12.87,60,40,65.6,4.5,2.5,0,0,77.5,45,42.02,2.7
2020-01-01,KALIMANTAN BARAT,KAB. KETAPANG,6.3,15.8,28.2,78.7,46,0.5,62.35,55.9,42.1,71,93.9,74.4,12.6,47.5,52.4,58,77.1,72.1,95.8,91.7,11.2,68.4,0.8,6.1,2,63.9,17.98,62.9,37.1,65.6,4.5,3.3,0,0,45.2,61.8,27.6,3.4
2022-01-01,KALIMANTAN BARAT,KAB. KETAPANG,5.65,19.37,35.1,79.9,67.6,0.8,73.75,38.2,64.9,88.26,12.41,86.3,100,53.4,85.9,56.5,66.9,74.3,100,100,11.8,71.8,2,1.9,1.4,84.4,19.24,63.3,36.7,50.6,81.4,20.7,0,0,70.9,0,59.3,3.8
2018-01-01,KALIMANTAN BARAT,KAB. KUBU RAYA,4.7,16.1,71.01,98.8,72,2.8,36,60.1,41.3,89.2,70,86.62,85.46,86.5,74.9,73.7,88.6,89.4,100,90,23.5,73.5,0.83,0.47,0.2,70.2,9.32,62.97,37.03,93.3,6.3,18.7,0,0,70.9,27.12,59.3,8.47
2019-01-01,KALIMANTAN BARAT,KAB. KUBU RAYA,14.5,23.6,76,93.06,79.6,0.34,86.33,57.08,18.05,88.72,22.1,75.42,87.9,84.49,90.1,62.71,95,90.33,95,100,9.6,66.3,0.8,1.3,0.4,14.2,10.55,67,33,97.8,0.4,9,1,0,97.6,62.7,76.59,8.5
2020-01-01,KALIMANTAN BARAT,KAB. KUBU RAYA,6.6,13.4,62.4,93.1,62.6,0.8,77.85,46.7,42.9,86.9,78.5,76.6,0,83.6,79.3,46.6,92.1,88.9,100,100,29.8,100,1,3.2,1.7,47.4,17.98,67.6,32.4,97.8,0.4,5.2,1,7.1,100,70.6,68.7,9.2
2022-01-01,KALIMANTAN BARAT,KAB. KUBU RAYA,3.66,6.83,72.6,96.6,68.2,1.1,82.4,50.85,68.9,88.26,99.19,96.1,100,84.4,80.5,47.5,92.9,91.9,100,100,75.5,80.5,0.9,0.4,1.3,0,11.51,64.6,35.4,59.5,88.7,4.7,7,2.4,70.9,0,59.3,21.2
2018-01-01,KALIMANTAN BARAT,KAB. LANDAK,4.7,16.1,74.54,98.8,69.1,1.4,34.55,83.5,48.4,90.5,70,94.06,95.81,88.7,77.2,83.3,96.87,89.63,100,100,23.5,73.5,2.32,0.6,0.2,70.2,17.98,64.18,35.82,0,6.3,24.5,0,0,70.9,72.44,59.3,1.92
