Tahun,PROVINSI,KOTA/KABUPATEN,PERSENTASE BALITA GIZI KURANG (BB/TB: < -2 S.D. -3 SD),PERSENTASE BALITA PENDEK (TB/U) ATAU STUNTING,PERSENTASE BALITA DITIMBANG (D/S) (L+P),PERSENTASE KUNJUNGAN NEONATAL ,PERSENTASE - BAYI DIIMUNISASI LENGKAP (P),PERSENTASE PESERTA KB KONDOM,"PERSENTASE 
2019-01-01,KALIMANTAN BARAT,KAB. LANDAK,13.3,30.2,66.3,92.62,96.7,0.89,94.66,78.66,87.08,82.29,25,99.77,96,76.67,91.7,89.1,91.4,84.16,81.25,42.22,0,0,0.8,1.1,2,100,13.17,63,37,66.7,3.1,5,0,0,74.2,48.7,36.02,2.6
2020-01-01,KALIMANTAN BARAT,KAB. LANDAK,15.4,28.2,51.5,84.8,89,0.7,86.9,63.9,45.8,79.1,70,100,90.3,76.7,82.1,92.3,89.7,81.2,93.8,100,28.9,60.5,0.7,0,1.8,90.4,17.98,66.8,33.2,66.7,3.1,4,0,0,90.9,69.2,53.1,1.3
2022-01-01,KALIMANTAN BARAT,KAB. LANDAK,11.26,19.84,58.9,97.6,100,1.3,99.8,56.59,58.8,88.26,48.36,100,100,87.2,100,90.4,88.4,93.2,100,93.3,22.3,94.4,0.6,1,0,71.9,20.58,66.9,33.1,42.5,79.4,6.9,0,0,70.9,0,59.3,1.3
2018-01-01,KALIMANTAN BARAT,KAB. MELAWI,4.7,16.1,70.06,98.8,75.7,5.5,37.85,27.9,43.2,67.7,70,73.37,68.36,70.8,75,81.7,81.39,73.44,100,90.9,23.5,73.5,0.16,0,0.2,70.2,10.86,60.99,39.01,27,6.3,24.9,0,0,70.9,40.83,59.3,8.28
2019-01-01,KALIMANTAN BARAT,KAB. MELAWI,15.9,32.1,63.9,74.78,73.1,0.84,73.94,30.66,55.15,68.38,48.8,72.46,94.15,49.96,76.9,75.15,64.6,72.94,81.82,100,5.3,35.4,0.6,0,0,13.9,17.75,63,37,26.5,0,9.7,0,0,100,55,59.68,10.7
2020-01-01,KALIMANTAN BARAT,KAB. MELAWI,16.5,36.3,55.2,75.8,64.7,0.2,70.25,24.2,54.3,67.9,49.4,59.1,29.2,51.5,70.9,71.6,62.5,72.5,72.7,100,5.6,48.5,0.4,0,0,36.8,17.98,59.1,40.9,26.5,0,30.3,0,0,25,56.8,59.6,11.2
2022-01-01,KALIMANTAN BARAT,KAB. MELAWI,10.3,26.91,31.9,68.7,75.3,0.8,72,46.66,72.2,88.26,59.85,61.6,55,47.6,79.7,82.8,49.3,65.7,100,100,0,1.1,0.4,0,0,49.4,25.66,62.7,37.3,22,63.8,29,0,0,70.9,0,59.3,12.4
2018-01-01,KALIMANTAN BARAT,KAB. MEMPAWAH,4.7,16.1,44.69,98.8,72,4,36,61.1,44.2,79.3,70,82.22,95.94,76.9,80.1,56.7,79.09,80.87,100,100,23.5,73.5,0.51,4.44,0.2,70.2,7.81,59.8,40.2,79.7,6.3,55.6,2,0,70.9,34.33,59.3,2.99
2019-01-01,KALIMANTAN BARAT,KAB. MEMPAWAH,6.9,26.3,53.3,96.02,74.1,1.6,85.06,83.66,63.01,88.26,9.1,100,97.1,86.36,80.9,56.72,100,90.66,92.86,100,0,0,0.8,1.6,1.3,50.1,13.66,69,31,78,4.5,22.7,0,0,42.4,20.9,73.19,6
2020-01-01,KALIMANTAN BARAT,KAB. MEMPAWAH,6.7,18.1,30.8,98.8,66.7,1.3,82.75,72,18.7,92.9,88.5,91.4,98.5,92.3,70.6,47.8,97.5,92,85.7,100,0.1,0,2.1,0.6,0.9,10.3,17.98,62.7,37.3,78,4.5,24.7,0,0,0,100,56.9,6
2022-01-01,KALIMANTAN BARAT,KAB. MEMPAWAH,4.04,8.07,37.4,100,83.8,4,100,64.47,59,88.26,60,100,100,100,92.9,59.7,86.6,100,100,100,87.9,86,0.2,0,1.5,84.4,13.31,67.1,32.9,65.5,78.9,15.2,3,28.6,70.9,0,59.3,13.4
2018-01-01,KALIMANTAN BARAT,KAB. SAMBAS,4.7,16.1,63.97,98.8,91.7,1.9,45.85,99.6,43.4,86.1,70,81.64,94.66,85.3,91.6,74.1,95.49,86.19,100,60.7,23.5,73.5,0.77,1.07,0.2,70.2,18.76,65.97,34.03,99.5,6.3,7.5,0,0,70.9,55.44,59.3,35.23
2019-01-01,KALIMANTAN BARAT,KAB. SAMBAS,6.5,22.3,61.3,89.64,94.6,1.22,92.12,100,46.97,84.64,42.6,84.9,94.15,80.29,92.3,75.65,96.9,85.45,100,100,27,24.2,0.4,1.8,1.2,11.1,19.45,69,31,96.3,0.2,0.8,0,0,100,75.1,27.82,40.4
2020-01-01,KALIMANTAN BARAT,KAB. SAMBAS,5,18.2,61.1,93.3,91.4,0.8,92.35,99.3,41.1,88.7,61.3,79.1,94.4,87,92,74.6,92.5,89,100,100,8.1,16,0.2,0,0,45.7,17.98,66.9,33.1,96.3,0.2,5.2,0,0,63.3,78.8,31.6,50.3
2022-01-01,KALIMANTAN BARAT,KAB. SAMBAS,4.44,15.67,63.2,96,100,1,99.85,66.42,70,88.26,88.51,94.1,100,90.9,100,79.3,89.1,91.7,100,100,35.9,98.1,1.8,0.8,0,72.9,24.16,64.1,35.9,69.6,92.2,2.9,0,0,70.9,0,59.3,58
2018-01-01,KALIMANTAN BARAT,KAB. SANGGAU,4.7,16.1,46.46,98.8,87.8,0.8,43.9,69,52.4,88.7,70,59.19,47.16,89.5,92.7,62.7,100,93.65,100,94.7,23.5,73.5,2.53,0.76,0.2,70.2,18.45,64.25,35.75,96,6.3,6.3,0,0,70.9,64.5,59.3,1.18
2019-01-01,KALIMANTAN BARAT,KAB. SANGGAU,8.1,29.6,45.1,92.51,93.6,0.3,93.06,79.22,43.3,86.07,48.3,77.69,94.15,67.34,95.3,63.31,64.6,89.96,84.21,88.89,3.1,13.1,4.7,0.4,0.3,95,17.03,65,35,95.8,1.6,1.1,1,0,66,75.1,44.31,2.4
2020-01-01,KALIMANTAN BARAT,KAB. SANGGAU,8.3,28.5,44.4,85.3,100,0.1,93.65,67.9,12.4,81,35.8,78.7,8.9,65.1,95.5,5.3,47.8,85.7,89.5,68.4,3.4,24.7,1.4,0.7,0.1,3.3,17.98,69.8,30.2,95.8,1.6,1.4,0,0,58.2,78.1,59.3,2.4
2022-01-01,KALIMANTAN BARAT,KAB. SANGGAU,7.95,17.48,37.7,81,87.6,0.3,84.3,42.53,65.3,88.26,52.84,85.3,68.6,66,96.8,55,69.6,82.7,100,78.9,10.9,37,1,0,0,100,17.5,63.6,36.4,40.2,88.5,58.6,0,0,70.9,0,59.3,7.1
2018-01-01,KALIMANTAN BARAT,KAB. SEKADAU,4.7,16.1,63.65,98.8,80.6,1.9,40.3,71.8,57.5,68.9,70,79.3,12.37,70.9,85.7,70.1,94.29,72.34,100,36.4,23.5,73.5,0.68,0,0.2,70.2,22.6,54.99,45.01,0,6.3,1.9,0,0,70.9,98.85,59.3,5.75
2019-01-01,KALIMANTAN BARAT,KAB. SEKADAU,16.3,31.1,66.1,68.63,78.1,0.09,73.37,38.74,38,64.84,2.9,74.79,94.15,41.27,83,72.41,84,68.68,91.67,86.67,0,0,1.7,0,0.4,100,12.25,66,34,58.5,0.7,0.3,0,0,100,100,41.9,12.6
2020-01-01,KALIMANTAN BARAT,KAB. SEKADAU,14.2,32.5,51.4,76.3,98.6,0.5,87.45,24.7,59.8,67.8,0,76.2,0,45.4,93.4,58.6,95.7,72.1,83.3,100,7.7,51.1,0.1,0,0,41.6,17.98,61.5,38.5,100,0.7,0.9,0,0,100,100,42.7,23
2022-01-01,KALIMANTAN BARAT,KAB. SEKADAU,10.11,21.01,64.2,82.4,97.6,0.7,90,42.16,66.2,88.26,90.94,100,76.2,57.5,99.2,60.9,83.2,79.7,100,100,27.1,87.3,0.6,0,0.7,68.2,17.83,65.1,34.9,1.4,88.7,0.7,0,0,70.9,0,59.3,34.5
2018-01-01,KALIMANTAN BARAT,KAB. SINTANG,4.7,16.1,63.26,98.8,77.3,1.3,38.65,80.2,46.4,86,70,84.56,77.01,89.4,81.4,84.8,97.36,89.9,100,47.8,23.5,73.5,0.86,0.21,0.2,70.2,14.22,62.07,37.93,100,6.3,13.6,1,0,70.9,11.79,59.3,5.9
2019-01-01,KALIMANTAN BARAT,KAB. SINTANG,12,30.8,60.9,83.07,78.7,0.14,80.89,47.08,9.79,81.97,34.1,86.77,77,67.89,90.4,85.5,83,85.23,85,52.6,2,15,1,1.1,0.8,33.4,15.93,60,40,50.7,0.2,7.7,0,0,100,12.3,34.2,6.9
2020-01-01,KALIMANTAN BARAT,KAB. SINTANG,13,32.3,37.9,79.3,73.1,0.1,76.2,51.9,9.8,75,73.3,80.4,16.9,66.1,81.3,86.2,77.2,95.1,90,100,21.6,27.4,0.3,0.5,0.5,55.5,17.98,62.7,37.3,97.7,0.2,37.4,1,0,42.1,4.9,35.3,3.2
2022-01-01,KALIMANTAN BARAT,KAB. SINTANG,10.38,27.12,47.5,81.4,83.3,0.9,82.35,27.36,64.5,88.26,35.03,85.1,51.4,72.6,86.7,67.3,84.4,82.6,100,100,6.1,21.6,2.1,0.3,0.1,0,22.35,59.3,40.7,34.8,88.5,44.5,2,0,70.9,0,59.3,20.6
2018-01-01,BALI,KARANGASEM,5.2,23.6,84.9,100,100,2.4,100,58.8,38.6,100,33.9,100,100,100,100,100,98.8,99.3,100,100,47.7,61.8,3.2,0.5,0.8,100,65.81,62.3,37.7,78.4,6.5,100,0,0,63.4,94.9,26.5,6.4
2019-01-01,BALI,KARANGASEM,3.8,16.1,86.3,100,100,3.1,100,71.65,37.8,100,35.2,100,8.7,100,100,100,99.1,97.4,100,100,39,100,5.3,0.5,0.3,79.1,7.71,64.5,35.5,88.6,9.4,100,2,7.7,65.9,100,31.9,14.1
2020-01-01,BALI,KARANGASEM,3.5,10.8,66.8,100,100,3.1,100,65.5,37.1,88.26,45.1,100,73.3,100,100,98.7,99.2,100,100,100,51.1,86.2,4,0,0.2,83.7,5.38,60.9,39.1,88.3,11.3,80.4,2,0,42.8,100,100,17.9
2021-01-01,BALI,KARANGASEM,3.3,10.1,100,100,100,3.2,100,100,37.4,100,45.4,100,98.2,100,98.6,96.2,95.6,100,100,100,59.9,91.3,2.8,0.4,0.3,90.8,43.73,57.5,42.5,56.7,14.4,78.1,1,0,74,100,79.83,28.21
2022-01-01,BALI,KARANGASEM,2.3,7,0,100,98.8,3.7,99.4,62.7,35.6,88.26,42.7,100,98.9,95.3,96.98,100,95.6,95.6,100,100,54.4,100,4.9,0.1,0.2,92.1,62.78,60.4,39.6,64.8,8.8,5.7,0,8.3,70.9,1.3,22.6,37.2
2018-01-01,BALI,KLUNGKUNG,3.9,16.6,91.2,100,100,3.6,100,82.2,41.4,100,99.7,100,100,100,100,100,100,100,100,100,65.8,100,7.5,1.2,0.2,100,60.01,64.5,35.5,95.9,3.4,100,0,0,41.9,93.2,82.9,55.9
2019-01-01,BALI,KLUNGKUNG,4.2,5.6,90.5,100,100,3.3,100,71.65,32.9,100,85.9,100,6,100,98.9,100,100,100,100,100,61.3,76.9,11.9,2.4,0.2,93.3,6.87,65,35,95.8,4.1,100,0,6.3,34.4,91.5,80.8,72.9
2020-01-01,BALI,KLUNGKUNG,2.6,7.3,64.5,100,100,3.5,100,90,31.6,88.26,59.5,80.5,95.6,100,100,100,100,100,100,100,46.2,81.2,9.8,0.2,0,90.9,6.39,63.5,36.5,95.8,4.9,96.7,0,0,35,94.9,100,79.7
2021-01-01,BALI,KLUNGKUNG,2.4,5.1,100,100,100,3.4,100,100,32.4,100,100,100,100,100,100,100,100,100,100,100,61.3,98.5,4.2,0,0.2,93.7,53.31,55.4,44.6,85.1,9.6,52,0,0,94.02,100,92.18,81.36
2022-01-01,BALI,KLUNGKUNG,1.9,5.4,0,100,100,3.7,100,76.6,35.5,88.26,100,100,100,92.4,100,100,100,92.4,100,100,100,100,20.3,0.8,0.2,100,72.89,55.8,44.2,79.5,4.5,40.5,0,0,70.9,0,5.7,88.1
2018-01-01,BALI,KOTA DENPASAR,3.8,9.6,86.4,100,91.4,4.7,99.4,85,28.8,100,60.4,97,100,100,100,100,100,99.9,100,100,7.6,25.3,100,0.5,0.1,100,14.87,59.5,40.5,67.1,8.2,88.9,0,0,66.2,72.1,35.9,86
2019-01-01,BALI,KOTA DENPASAR,0.9,5.2,85.5,100,99.2,5.2,99.6,71.65,30.4,100,60.2,98.7,2.4,100,99.7,100,100,99.3,100,100,15.5,44.2,7.7,0.5,0,18.6,16.89,58.3,41.7,63.3,4.9,91.9,0,0,89.1,100,40.1,93
2020-01-01,BALI,KOTA DENPASAR,0.7,1.5,62.4,98.5,93.1,5.4,95.8,88.5,34.9,88.26,45.3,76.8,92.5,98.7,93.1,100,99.7,97.1,100,100,8.8,50.4,3.4,0.6,0,47.5,10.95,58.6,41.4,59.4,9,44.7,0,0,92.9,100,100,93
2021-01-01,BALI,KOTA DENPASAR,0.3,0.3,100,100,100,5.1,100,100,36.7,97.8,68.85,89.3,98.4,97.8,94.9,100,99.6,96,100,100,52.7,100,2.5,0,0,38.2,100,60.6,39.4,39.3,10.9,30.9,0,0,90,100,58.9,97.67
2022-01-01,BALI,KOTA DENPASAR,0.3,0.7,0,99.9,93.7,5.8,96.8,93.1,37.6,88.26,87.6,97.2,97.6,100,96.07,100,99.6,99.7,100,100,100,100,100,0.1,0,100,100,58.5,41.5,63.9,9.6,59.8,0,0,70.9,79.1,94.4,97.7
2018-01-01,KALIMANTAN BARAT,KOTA PONTIANAK,4.7,16.1,86.69,98.8,87.4,2.6,43.7,100,37.4,99,70,76.98,93.04,95.4,91.1,69,93.83,97.72,100,100,23.5,73.5,2.04,2.59,0.2,70.2,19.27,64.61,35.39,84.1,6.3,28.4,1,0,70.9,82.76,59.3,44.83
2019-01-01,KALIMANTAN BARAT,KOTA PONTIANAK,7.4,19.1,67.1,100,83.8,1.65,92.57,99.59,45.62,97.39,64.5,82.04,100,97.39,93.2,65.52,83,97.6,91.3,100,19.8,43.7,2.6,1,0.3,60.8,23.37,65,35,89.7,3.1,8.6,2,0,100,100,45.68,37.9
2020-01-01,KALIMANTAN BARAT,KOTA PONTIANAK,3.5,8.7,42.1,96.8,53.8,1.5,75.3,95.6,41.1,91.9,100,58,96.2,91.9,69.5,17.2,89.3,91.1,100,91.3,25.4,42.3,1.5,0.5,0.3,67.1,17.98,63.6,36.4,89.7,3.1,5.4,1,0,0,53.3,59.4,26.7
2022-01-01,KALIMANTAN BARAT,KOTA PONTIANAK,3.49,7.3,47.7,100,72.2,2.3,90.7,100,64.6,88.26,93.88,73.3,87.1,100,82.1,27.6,65,100,100,82.6,33.3,58,2.6,1,0.3,0,34.09,61.6,38.4,43.8,88.9,10.4,8,0,70.9,0,59.3,75.9
2018-01-01,KALIMANTAN BARAT,KOTA SINGKAWANG,4.7,16.1,26.71,98.8,61.1,2.8,30.55,67.4,47.2,91,70,55.56,67.62,86.7,76,30.8,84.24,91.59,100,53.7,23.5,73.5,1.79,0.39,0.2,70.2,39.62,59.45,40.55,57,6.3,51.3,0,0,70.9,65.38,59.3,0
2019-01-01,KALIMANTAN BARAT,KOTA SINGKAWANG,4.7,16.9,28.6,92.83,58.9,0.56,75.87,77.96,21.82,88.59,17.4,61.35,100,88.4,70.9,34.62,84.3,88.1,80,100,6,31.3,1.7,0.9,0,94.8,37.19,63,37,38.2,2.8,17.6,4,5.9,70.5,88.5,45.29,0
2020-01-01,KALIMANTAN BARAT,KOTA SINGKAWANG,6.5,20.2,14,88.6,46.3,1,67.45,69.2,24.2,84.2,28.6,46.8,4.8,84.2,65.4,19.2,77.2,83.4,100,100,12.1,61.3,1.8,2.7,0.2,27.8,17.98,65.6,34.4,38.2,2.9,15.4,0,0,62,61.5,21.7,3.8
2022-01-01,KALIMANTAN BARAT,KOTA SINGKAWANG,7.67,14.45,17.2,87.5,41.7,2.9,64.6,60.57,53.7,88.26,97.47,55.2,100,82.8,54.5,11.5,70.4,83.5,100,100,13.4,62.1,2.5,2.2,0.1,70.2,37.72,66.4,33.6,23.4,78.7,23.3,1,0,70.9,0,59.3,34.6
2018-01-01,BALI,TABANAN,6,16.2,87.9,98.3,100,1.9,100,100,44.1,93.6,64.9,100,100,93.6,97.9,100,100,86.6,100,100,24.4,100,11.2,0.1,0,100,52.54,54.9,45.1,72.4,11.7,83.2,0,0,98.2,83.5,57,15.8
2019-01-01,BALI,TABANAN,4.5,10.4,85.1,100,100,2.2,100,71.65,40.2,95.4,67.4,100,5.1,95.4,100,100,100,95.4,100,82.7,10.4,100,10.6,0.1,0,100,6.15,58.4,41.6,77.6,5.2,100,0,0,99.6,94,64.6,16.5
2020-01-01,BALI,TABANAN,2.9,8,54.7,100,89.5,2.5,95.1,85.5,41.3,88.26,47,79.5,97.8,95.7,90.3,80.5,100,95.7,100,100,10.6,100,2,0.2,0,59.9,4.11,69,31,77.8,7.3,67.9,1,0,99.7,99.2,100,21.1
2021-01-01,BALI,TABANAN,2.4,4,100,100,100,2.8,100,100,42.2,97.1,65.2,99.8,98.4,97.1,96.4,93.2,100,97.4,100,100,41.8,100,3.7,0,0,61.4,41.48,59.1,40.9,29.2,14.5,33.5,0,0,79.6,100,71.8,28.57
2022-01-01,BALI,TABANAN,2.2,2.8,0,100,100,3.7,100,84.5,38.3,88.26,63.6,100,99.6,84,100,100,100,82.2,100,100,19,100,5.4,0.3,0.1,70.8,51.56,55,45,64.1,17.5,100,1,0,70.9,0.8,47.6,34.6